						Virtual	PhysicalShared		
PID:	4706	name:	firefox	virtual:	449976	44560	26596	Wss:	*
PID:	4706	name:	firefox	virtual:	561608	68184	31992	Wss:	*
PID:	4706	name:	firefox	virtual:	608952	86620	35644	Wss:	*
PID:	4706	name:	firefox	virtual:	664220	105032	38708	Wss:	*
PID:	4706	name:	firefox	virtual:	804032	120072	42268	Wss:	*
PID:	4706	name:	firefox	virtual:	736460	126512	44852	Wss:	*
PID:	4706	name:	firefox	virtual:	759572	141536	46560	Wss:	*
PID:	4706	name:	firefox	virtual:	787680	144992	47596	Wss:	*
PID:	4706	name:	firefox	virtual:	810284	153452	47860	Wss:	*
PID:	4706	name:	firefox	virtual:	819216	161952	48388	Wss:	*
PID:	4706	name:	firefox	virtual:	842184	167524	48808	Wss:	*
PID:	4706	name:	firefox	virtual:	842184	167524	48808	Wss:	*
PID:	4706	name:	firefox	virtual:	842184	167524	48808	Wss:	
PID:	4706	name:	firefox	virtual:	842184	167524	48808	Wss:	
PID:	4706	name:	firefox	virtual:	842184	167524	48808	Wss:	
PID:	4706	name:	firefox	virtual:	842184	167788	48824	Wss:	*
PID:	4706	name:	firefox	virtual:	852428	170732	49596	Wss:	*
PID:	4706	name:	firefox	virtual:	851468	165420	49840	Wss:	*
PID:	4706	name:	firefox	virtual:	853772	167892	50760	Wss:	*
PID:	4706	name:	firefox	virtual:	853772	167892	50760	Wss:	
PID:	4706	name:	firefox	virtual:	853900	168420	50868	Wss:	
PID:	4706	name:	firefox	virtual:	853900	168420	50868	Wss:	
PID:	4706	name:	firefox	virtual:	853964	168948	50988	Wss:	
PID:	4706	name:	firefox	virtual:	878968	173088	51200	Wss:	*
PID:	4706	name:	firefox	virtual:	879096	174456	51240	Wss:	*
PID:	4706	name:	firefox	virtual:	888288	176072	52168	Wss:	*
PID:	4706	name:	firefox	virtual:	888288	176336	52188	Wss:	*
PID:	4706	name:	firefox	virtual:	888320	176376	52216	Wss:	*
PID:	4706	name:	firefox	virtual:	890368	178700	52416	Wss:	*
PID:	4706	name:	firefox	virtual:	965412	187524	55680	Wss:	*
PID:	4706	name:	firefox	virtual:	965604	186576	55912	Wss:	*
PID:	4706	name:	firefox	virtual:	976100	199108	56180	Wss:	*
PID:	4706	name:	firefox	virtual:	977316	196496	56392	Wss:	*
PID:	4706	name:	firefox	virtual:	982440	199460	56564	Wss:	*
PID:	4706	name:	firefox	virtual:	982440	199460	56564	Wss:	
PID:	4706	name:	firefox	virtual:	982440	197304	56564	Wss:	
PID:	4706	name:	firefox	virtual:	982440	197780	56564	Wss:	
PID:	4706	name:	firefox	virtual:	982696	201960	56672	Wss:	*
PID:	4706	name:	firefox	virtual:	981740	201600	56672	Wss:	*
PID:	4706	name:	firefox	virtual:	981164	201016	56672	Wss:	*
PID:	4706	name:	firefox	virtual:	981164	201016	56672	Wss:	
PID:	4706	name:	firefox	virtual:	981164	201016	56672	Wss:	
PID:	4706	name:	firefox	virtual:	981164	201016	56672	Wss:	
PID:	4706	name:	firefox	virtual:	981228	201016	56672	Wss:	
PID:	4706	name:	firefox	virtual:	981228	200592	56672	Wss:	
PID:	4706	name:	firefox	virtual:	981292	200592	56672	Wss:	
PID:	4706	name:	firefox	virtual:	981292	200592	56672	Wss:	
PID:	4706	name:	firefox	virtual:	981228	198748	56688	Wss:	
PID:	4706	name:	firefox	virtual:	981292	198780	56688	Wss:	
PID:	4706	name:	firefox	virtual:	981292	199020	56688	Wss:	
PID:	4706	name:	firefox	virtual:	980588	198892	56688	Wss:	
PID:	4706	name:	firefox	virtual:	980588	196872	56692	Wss:	
PID:	4706	name:	firefox	virtual:	980588	196872	56692	Wss:	
PID:	4706	name:	firefox	virtual:	980588	196872	56692	Wss:	
PID:	4706	name:	firefox	virtual:	980652	196872	56692	Wss:	
PID:	4706	name:	firefox	virtual:	980652	196872	56692	Wss:	
PID:	4706	name:	firefox	virtual:	980652	196608	56708	Wss:	
PID:	4706	name:	firefox	virtual:	980716	196868	56720	Wss:	
PID:	4706	name:	firefox	virtual:	980716	196868	56720	Wss:	
PID:	4706	name:	firefox	virtual:	980652	196868	56720	Wss:	
PID:	4706	name:	firefox	virtual:	980652	196868	56720	Wss:	
PID:	4706	name:	firefox	virtual:	980780	197132	56728	Wss:	
PID:	4706	name:	firefox	virtual:	989168	193008	56796	Wss:	
PID:	4706	name:	firefox	virtual:	994032	195604	56984	Wss:	
